k,P(k)
7.30969526,62064.1591
7.27522135,63009.5805
7.22660956,64290.8289
7.18211995,65281.4745
7.1226068,66296.8157
7.06877517,67318.1061
7.03198027,68303.1525
6.98221193,69727.7991
6.91540135,70660.7086
6.84594551,71486.5337
6.77162081,72502.7525
6.72964062,73337.8432
6.67561898,74553.495
6.56273744,76239.9948
6.41427647,77959.0398
6.41427647,77959.0398
6.31700187,79326.4349
6.24820872,80329.964
6.13856368,81883.1494
5.96843815,84125.8254
5.84800087,85355.6583
5.55291859,86792.2247
5.69281016,86275.372
5.44373837,88849.8262
5.28662476,90899.1959
