# Extracted from McDonald+ 2017 (The Remarkable Similarity of Massive Galaxy Clusters from z ∼ 0 to z ∼ 1.9)
# Figure 2, upper middle

# Redshift bins:
# - bin_0: 0.00 < z < 0.10
# - bin_1: 0.25 < z < 0.50
# - bin_2: 0.50 < z < 0.75
# - bin_3: 0.75 < z < 1.20
# - bin_4: 1.20 < z < 1.70

# Units: rho_gas / rho_crit(z)

#   R/R500      bin_0      bin_1      bin_2      bin_3      bin_4
6.08910e-3 5.66123e+3 2.05620e+3 1.94886e+3 1.22453e+3 1.02412e+3
1.27553e-2 3.43222e+3 1.61059e+3 1.50843e+3 9.64886e+2 7.97410e+2
2.57377e-2 2.13103e+3 1.26155e+3 1.16754e+3 7.69410e+2 6.28332e+2
5.14496e-2 1.31528e+3 9.59155e+2 8.61622e+2 6.17201e+2 5.04032e+2
1.03815e-1 7.37983e+2 6.55089e+2 5.71205e+2 4.66469e+2 3.87807e+2
1.81188e-1 4.01920e+2 4.01920e+2 3.58906e+2 3.32159e+2 2.81126e+2
3.25233e-1 1.92005e+2 1.92005e+2 1.92005e+2 1.89730e+2 1.65436e+2
5.44217e-1 8.14212e+1 8.14212e+1 8.14212e+1 8.69357e+1 7.62565e+1
9.19210e-1 2.88764e+1 3.12017e+1 2.97495e+1 2.80289e+1 2.47328e+1
1.42716e+0 9.64886e+0 1.21726e+1 1.08053e+1 8.71950e+0 8.36335e+0
