#  scale_factor   cSFR (HACC)
   5.373130e-03  0.000000e+00
   5.771140e-03  0.000000e+00
   6.169150e-03  0.000000e+00
   6.567160e-03  0.000000e+00
   6.965170e-03  0.000000e+00
   7.363180e-03  0.000000e+00
   7.761190e-03  0.000000e+00
   8.159200e-03  0.000000e+00
   8.557210e-03  0.000000e+00
   8.955220e-03  0.000000e+00
   9.353230e-03  0.000000e+00
   9.751240e-03  0.000000e+00
   1.014925e-02  0.000000e+00
   1.054726e-02  0.000000e+00
   1.094527e-02  0.000000e+00
   1.134328e-02  0.000000e+00
   1.174129e-02  0.000000e+00
   1.213930e-02  0.000000e+00
   1.253731e-02  0.000000e+00
   1.293532e-02  0.000000e+00
   1.333333e-02  0.000000e+00
   1.373134e-02  0.000000e+00
   1.412935e-02  0.000000e+00
   1.452736e-02  0.000000e+00
   1.492537e-02  0.000000e+00
   1.532338e-02  0.000000e+00
   1.572139e-02  0.000000e+00
   1.611940e-02  0.000000e+00
   1.651741e-02  0.000000e+00
   1.691542e-02  0.000000e+00
   1.731343e-02  0.000000e+00
   1.771144e-02  0.000000e+00
   1.810945e-02  0.000000e+00
   1.850746e-02  0.000000e+00
   1.890547e-02  0.000000e+00
   1.930348e-02  0.000000e+00
   1.970149e-02  0.000000e+00
   2.009950e-02  0.000000e+00
   2.049751e-02  0.000000e+00
   2.089552e-02  0.000000e+00
   2.248756e-02  0.000000e+00
   2.407960e-02  0.000000e+00
   2.567164e-02  0.000000e+00
   2.726368e-02  0.000000e+00
   2.885572e-02  0.000000e+00
   3.044776e-02  0.000000e+00
   3.203980e-02  0.000000e+00
   3.363184e-02  0.000000e+00
   3.522388e-02  0.000000e+00
   3.681592e-02  0.000000e+00
   3.840796e-02  0.000000e+00
   4.000000e-02  0.000000e+00
   4.159204e-02  0.000000e+00
   4.318408e-02  0.000000e+00
   4.477612e-02  0.000000e+00
   4.636816e-02  0.000000e+00
   4.796020e-02  0.000000e+00
   4.955224e-02  0.000000e+00
   5.114428e-02  0.000000e+00
   5.273632e-02  0.000000e+00
   5.432836e-02  0.000000e+00
   5.592040e-02  0.000000e+00
   5.751244e-02  0.000000e+00
   5.910448e-02  0.000000e+00
   6.069652e-02  0.000000e+00
   6.228856e-02  0.000000e+00
   6.388060e-02  0.000000e+00
   6.547264e-02  1.212620e-08
   6.706468e-02  9.827906e-08
   6.865672e-02  2.934520e-07
   7.024876e-02  3.295600e-07
   7.184080e-02  5.585813e-07
   7.343284e-02  9.210962e-07
   7.502488e-02  9.414554e-07
   7.661692e-02  1.500573e-06
   7.820896e-02  2.292703e-06
   7.980099e-02  3.664220e-06
   8.139303e-02  5.750989e-06
   8.298507e-02  8.315760e-06
   8.457711e-02  1.129584e-05
   8.616915e-02  1.629536e-05
   8.776119e-02  2.283384e-05
   8.935323e-02  3.227484e-05
   9.094527e-02  4.575253e-05
   9.253731e-02  6.184399e-05
   9.412935e-02  8.103311e-05
   9.572139e-02  1.080256e-04
   9.731343e-02  1.398030e-04
   9.890547e-02  1.712972e-04
   1.004975e-01  2.105516e-04
   1.020896e-01  2.609872e-04
   1.036816e-01  3.212121e-04
   1.052736e-01  3.814809e-04
   1.068657e-01  4.537778e-04
   1.084577e-01  5.432289e-04
   1.100498e-01  6.419533e-04
   1.116418e-01  7.619530e-04
   1.132338e-01  8.906776e-04
   1.148259e-01  1.027851e-03
   1.164179e-01  1.282986e-03
   1.180100e-01  1.450047e-03
   1.196020e-01  1.627472e-03
   1.211940e-01  1.826057e-03
   1.227861e-01  2.055046e-03
   1.243781e-01  2.300977e-03
   1.259702e-01  2.568511e-03
   1.275622e-01  2.647275e-03
   1.291542e-01  2.825863e-03
   1.307463e-01  2.705280e-03
   1.323383e-01  2.456667e-03
   1.339304e-01  2.775325e-03
   1.355224e-01  4.169936e-03
   1.371144e-01  5.937954e-03
   1.387065e-01  6.242639e-03
   1.402985e-01  7.615483e-03
   1.418906e-01  7.993793e-03
   1.434826e-01  8.150905e-03
   1.450746e-01  8.546180e-03
   1.466667e-01  9.035259e-03
   1.482587e-01  9.678328e-03
   1.498508e-01  1.044449e-02
   1.514428e-01  1.128967e-02
   1.530348e-01  1.216234e-02
   1.546269e-01  1.316174e-02
   1.562189e-01  1.409276e-02
   1.578110e-01  1.508306e-02
   1.594030e-01  1.607182e-02
   1.609950e-01  1.713170e-02
   1.625871e-01  1.825247e-02
   1.641791e-01  1.940627e-02
   1.657711e-01  2.050630e-02
   1.673632e-01  2.158293e-02
   1.689552e-01  2.234939e-02
   1.705473e-01  2.324574e-02
   1.721393e-01  2.466302e-02
   1.737313e-01  2.651060e-02
   1.753234e-01  2.848200e-02
   1.769154e-01  3.070481e-02
   1.785075e-01  3.272004e-02
   1.800995e-01  3.453614e-02
   1.816915e-01  3.630788e-02
   1.832836e-01  3.805442e-02
   1.848756e-01  3.969865e-02
   1.864677e-01  4.141616e-02
   1.880597e-01  4.330783e-02
   1.896517e-01  4.529229e-02
   1.912438e-01  4.719771e-02
   1.928358e-01  4.921137e-02
   1.944279e-01  5.118066e-02
   1.960199e-01  5.339940e-02
   1.976119e-01  5.543851e-02
   1.992040e-01  5.774289e-02
   2.007960e-01  5.977815e-02
